fips,tier
37005,1
37007,1
37009,1
37013,1
37015,1
37017,1
37027,1
37029,1
37033,1
37041,1
37043,1
37047,1
37065,1
37073,1
37075,1
37079,1
37083,1
37091,1
37095,1
37099,1
37103,1
37107,1
37113,1
37117,1
37111,1
37123,1
37127,1
37131,1
37139,1
37143,1
37153,1
37155,1
37161,1
37165,1
37173,1
37177,1
37181,1
37185,1
37187,1
37199,1
37001,2
37003,2
37011,2
37023,2
37035,2
37039,2
37045,2
37049,2
37051,2
37053,2
37055,2
37057,2
37059,2
37061,2
37069,2
37071,2
37077,2
37085,2
37087,2
37093,2
37105,2
37115,2
37121,2
37133,2
37137,2
37145,2
37147,2
37149,2
37151,2
37157,2
37159,2
37163,2
37167,2
37169,2
37171,2
37175,2
37191,2
37193,2
37195,2
37197,2
37019,3
37021,3
37025,3
37031,3
37037,3
37063,3
37067,3
37081,3
37089,3
37097,3
37101,3
37109,3
37119,3
37125,3
37129,3
37135,3
37141,3
37179,3
37183,3
37189,3
